beat_time_s,predicted_chord
0.033,Emaj7
0.324,Cmaj7
0.635,C
0.924,C
1.211,C
1.468,C
1.759,Gmaj7
2.065,D
2.352,Dmaj7
2.637,Dmaj7
2.889,Dm
3.141,Dm
3.425,Fmaj7
3.747,Emaj7
4.060,Emaj7
4.359,Ddim
4.644,G#dim
4.896,G7
5.160,G7
5.432,F7
5.691,Cmaj7
5.962,Cmaj7
6.237,Cmaj7
6.533,C7
6.802,Fmaj7
7.084,Fmaj7
7.406,Fm7b5
7.696,G#maj7
8.000,G#maj7
8.273,Fm
8.557,Cmaj7
8.817,Emaj7
9.093,Gmaj7
9.397,Cmaj7
9.684,Cmaj7
9.969,Cmaj7
10.219,Cmaj7
10.480,Cmaj7
10.755,Bm7b5
11.037,Gmaj7
11.357,Gmaj7
11.608,Gmaj7
11.885,C#maj7
12.199,G#maj7
12.479,G#maj7
12.763,A#maj7
13.053,A#maj7
13.314,G#maj7
13.575,Cmaj7
13.827,Cmaj7
14.107,Cmaj7
14.392,Cmaj7
14.658,Em
14.957,Gmaj7
15.232,Amaj7
15.516,A#maj7
15.792,A#maj7
