time_s,predicted_chord
0.000,C#7
0.046,A#maj7
0.093,G#7
0.139,C#
0.186,C#
0.232,C#maj7
0.279,C#7
0.325,Fmaj7
0.372,Fmaj7
0.418,G#7
0.464,D#dim
0.511,D#m
0.557,D#m
0.604,B7
0.650,C#7
0.697,C#7
0.743,Fmaj7
0.789,Fmaj7
0.836,Adim
0.882,D#7
0.929,Bmaj7
0.975,A#maj7
1.022,C#7
1.068,A#maj7
1.115,A#maj7
1.161,Amaj7
1.207,Am
1.254,A#maj7
1.300,C#7
1.347,G#7
1.393,D#7
1.440,Adim
1.486,Adim
1.533,D#maj7
1.579,Bmaj7
1.625,A#maj7
1.672,A#maj7
1.718,A#maj7
1.765,A#m
1.811,A#m
1.858,A#m
1.904,A#maj7
1.950,A#maj7
1.997,A#maj7
2.043,C#7
2.090,A#maj7
2.136,A#maj7
2.183,A#maj7
2.229,G#maj7
2.276,G#maj7
2.322,G#maj7
2.368,G#maj7
2.415,A#maj7
2.461,C#7
2.508,C#7
2.554,A#m7b5
2.601,D#7
2.647,Cm
2.694,D#7
2.740,D#7
2.786,D#7
2.833,G#maj7
2.879,G#maj7
2.926,D#7
2.972,D#7
3.019,Cm
3.065,G#
3.111,D#7
3.158,C#maj7
3.204,C#maj7
3.251,C#7
3.297,Emaj7
3.344,D#m
3.390,D#m
3.437,D#maj7
3.483,G#maj7
3.529,G#maj7
3.576,G#maj7
3.622,F#maj7
3.669,Ddim
3.715,Fm
3.762,Fm
3.808,Fm
3.855,C#
3.901,Amaj7
3.947,Amaj7
3.994,Amaj7
4.040,C#7
4.087,C#7
4.133,C#maj7
4.180,Amaj7
4.226,Amaj7
4.272,G#maj7
4.319,Amaj7
4.365,Fmaj7
4.412,Am7b5
4.458,Adim
4.505,Adim
4.551,Am7b5
4.598,C#maj7
4.644,C#maj7
4.690,F#maj7
4.737,D#maj7
4.783,D#dim
4.830,D#m
4.876,D#m
4.923,D#m
4.969,D#m
5.016,D#m
5.062,D#maj7
5.108,D#m
5.155,D#m
5.201,D#maj7
5.248,Dmaj7
5.294,C#7
5.341,F#maj7
5.387,Fmaj7
5.433,Fmaj7
5.480,C
5.526,Fmaj7
5.573,F#maj7
5.619,F#maj7
5.666,F#maj7
5.712,F#maj7
5.759,A#m
5.805,F#maj7
5.851,F#7
5.898,A#maj7
5.944,F#maj7
5.991,F#maj7
6.037,C#7
6.084,C#maj7
6.130,D#7
6.177,D#7
6.223,Bmaj7
6.269,A#maj7
6.316,A#maj7
6.362,A#maj7
6.409,C#7
6.455,Amaj7
6.502,Amaj7
6.548,Amaj7
6.594,A#maj7
6.641,F#maj7
6.687,F#maj7
6.734,A#maj7
6.780,Fmaj7
6.827,Fmaj7
6.873,Fmaj7
6.920,Fmaj7
6.966,Fmaj7
7.012,A#maj7
7.059,A#maj7
7.105,A#maj7
7.152,A#maj7
7.198,Fmaj7
7.245,Amaj7
7.291,A#maj7
7.338,Amaj7
7.384,C#maj7
7.430,C#7
7.477,C#7
7.523,C#7
7.570,C#maj7
7.616,C#maj7
7.663,G#maj7
7.709,D#7
7.755,D#7
7.802,D#7
7.848,D#7
7.895,D#7
7.941,D#7
7.988,Fmaj7
8.034,C#7
8.081,C#7
8.127,C#7
8.173,C#7
8.220,C#7
8.266,A#maj7
8.313,A#maj7
8.359,A#maj7
8.406,C#7
8.452,C#7
8.499,C#7
8.545,A#maj7
8.591,C#
8.638,C#
8.684,C#7
8.731,G#7
8.777,C#maj7
8.824,F#maj7
8.870,F#maj7
8.916,B7
8.963,D#m
9.009,D#maj7
9.056,G#7
9.102,C#
9.149,C#
9.195,C#7
9.242,C#maj7
9.288,D#maj7
9.334,D#7
9.381,Bmaj7
9.427,A#maj7
9.474,A#maj7
9.520,C#7
9.567,A#maj7
9.613,A#maj7
9.660,Am
9.706,F
9.752,A#maj7
9.799,Am7b5
9.845,Adim
9.892,Adim
9.938,Adim
9.985,D#maj7
10.031,Bmaj7
10.077,A#maj7
10.124,A#maj7
10.170,A#maj7
10.217,C#7
10.263,C#7
10.310,A#maj7
10.356,A#maj7
10.403,A#maj7
10.449,A#maj7
10.495,C#7
10.542,C#7
10.588,C#7
10.635,C#7
10.681,A#maj7
10.728,C#7
10.774,C#7
10.820,A#maj7
10.867,A#maj7
10.913,A#maj7
10.960,Bmaj7
11.006,Bmaj7
11.053,Amaj7
11.099,G#maj7
11.146,G#maj7
11.192,G#maj7
11.238,G#maj7
11.285,G#maj7
11.331,G#maj7
11.378,G#maj7
11.424,G#maj7
11.471,G#maj7
11.517,G#maj7
11.564,C#7
11.610,F#maj7
11.656,F#maj7
11.703,Bmaj7
11.749,F#maj7
11.796,F#
11.842,F#
11.889,F#
11.935,F#
11.981,F#maj7
12.028,Bmaj7
12.074,Bmaj7
12.121,Bmaj7
12.167,Fmaj7
12.214,A#maj7
12.260,F
12.307,Fmaj7
12.353,A#maj7
12.399,Adim
12.446,A#maj7
12.492,A#maj7
12.539,A#maj7
12.585,Fmaj7
12.632,Fmaj7
12.678,Fmaj7
12.725,A#maj7
12.771,D#dim
12.817,D#dim
12.864,A#maj7
12.910,Am7b5
12.957,Edim
13.003,C7
13.050,Cmaj7
13.096,Fmaj7
13.142,Fmaj7
13.189,Fmaj7
13.235,F#maj7
13.282,F#maj7
13.328,F#maj7
13.375,F#maj7
13.421,Emaj7
13.468,D#maj7
13.514,D#m
13.560,D#maj7
13.607,Fmaj7
13.653,Fmaj7
13.700,D#m
13.746,D#m
13.793,F#maj7
13.839,D#m
13.886,D#m
13.932,Bmaj7
13.978,Amaj7
14.025,Amaj7
14.071,Amaj7
14.118,A#maj7
14.164,A#maj7
14.211,Bmaj7
14.257,A#maj7
14.303,G#maj7
14.350,F#maj7
14.396,A#maj7
14.443,A#maj7
14.489,F#maj7
14.536,C#7
14.582,C#7
14.629,F#maj7
14.675,F#maj7
14.721,A#maj7
14.768,A#maj7
14.814,A#maj7
14.861,C#7
14.907,C#7
14.954,C#7
15.000,C#maj7
15.047,C#maj7
15.093,E7
15.139,C#7
15.186,A#maj7
15.232,C#7
15.279,A#maj7
15.325,A#maj7
15.372,A#maj7
15.418,A#maj7
15.464,A#maj7
15.511,A#maj7
15.557,A#maj7
15.604,A#maj7
15.650,A#maj7
15.697,A#maj7
15.743,Fmaj7
15.790,Fmaj7
15.836,Fmaj7
15.882,F#maj7
15.929,F#maj7
15.975,D#dim
16.022,F#maj7
16.068,Fmaj7
16.115,Fmaj7
16.161,Fmaj7
16.208,Fmaj7
16.254,Emaj7
16.300,Emaj7
16.347,Emaj7
16.393,D#maj7
16.440,Dm
16.486,Dm
16.533,A#m
16.579,Amaj7
16.625,C#7
16.672,C#7
16.718,C#7
16.765,C#
16.811,C#7
16.858,C#7
16.904,C#7
16.951,C#7
16.997,C#7
17.043,A#m
17.090,A#maj7
17.136,C#7
17.183,C#
17.229,C#
17.276,Fmaj7
17.322,C#maj7
17.369,Fmaj7
17.415,Fmaj7
17.461,D#m
17.508,D#dim
17.554,D#m
17.601,D#dim
17.647,C#maj7
17.694,C#7
17.740,C#7
17.786,C#7
17.833,Adim
17.879,D#7
17.926,Bmaj7
17.972,A#maj7
18.019,A#maj7
18.065,A#maj7
18.112,A#maj7
18.158,A#maj7
18.204,Am
18.251,A#maj7
18.297,Bmaj7
18.344,Adim
18.390,D#7
18.437,D#7
18.483,D#7
18.530,Adim
18.576,Bmaj7
18.622,Bmaj7
18.669,A#maj7
18.715,A#maj7
18.762,C#7
18.808,C#7
18.855,A#m
18.901,A#m
18.947,A#maj7
18.994,A#maj7
19.040,C#7
19.087,C#7
19.133,C#7
19.180,A#maj7
19.226,G#maj7
19.273,G#maj7
19.319,G#maj7
19.365,G#maj7
19.412,A#maj7
19.458,C#7
19.505,A#maj7
19.551,G#dim
19.598,G#maj7
19.644,G#maj7
19.691,G#maj7
19.737,G#maj7
19.783,G#maj7
19.830,G#
19.876,D#7
19.923,D#7
19.969,Cm
20.016,Cm
20.062,D#7
20.108,Dmaj7
20.155,C#
20.201,F#maj7
20.248,F#maj7
20.294,Emaj7
20.341,Cdim
20.387,D#m
20.434,D#m
20.480,D#m
20.526,D#m
20.573,D#m
20.619,D#m
20.666,Fmaj7
20.712,Ddim
20.759,Ddim
20.805,Ddim
20.852,C#
20.898,C#
20.944,C#
20.991,C#7
21.037,C#7
21.084,C#
21.130,C#
21.177,G#maj7
21.223,G#maj7
21.269,G#maj7
21.316,Am7b5
21.362,Adim
21.409,Adim
21.455,Adim
21.502,G#maj7
21.548,C#maj7
21.595,C#maj7
21.641,F#maj7
21.687,D#maj7
21.734,D#m
21.780,D#m
21.827,D#m
21.873,D#m
21.920,D#m
21.966,D#m
22.013,D#m
22.059,D#maj7
22.105,D#m
22.152,D#maj7
22.198,D#maj7
22.245,C#7
22.291,C#
22.338,C#maj7
22.384,C#maj7
22.430,Cmaj7
22.477,C
22.523,C
22.570,Fmaj7
22.616,F#maj7
22.663,F#maj7
22.709,C#
22.756,C#aug
22.802,C#
22.848,A#m
22.895,Dmaj7
22.941,C#7
22.988,C#7
23.034,C#7
23.081,Cmaj7
23.127,Fmaj7
23.174,Cmaj7
23.220,A#maj7
23.266,A#maj7
23.313,C#7
23.359,A#maj7
23.406,A#maj7
23.452,Amaj7
23.499,Am
23.545,A#maj7
23.591,A#maj7
23.638,F#maj7
23.684,F#maj7
23.731,A#maj7
23.777,Fmaj7
23.824,Fmaj7
23.870,A#maj7
23.917,A#maj7
23.963,A#maj7
24.009,A#maj7
24.056,A#maj7
24.102,A#maj7
24.149,A#maj7
24.195,Fmaj7
24.242,Fmaj7
24.288,A#maj7
24.335,Amaj7
24.381,C#7
24.427,C#maj7
24.474,C#7
24.520,C#maj7
24.567,C#7
24.613,C#maj7
24.660,C#7
24.706,D#7
24.752,D#7
24.799,D#7
24.845,D#7
24.892,F#maj7
24.938,Cm7b5
24.985,D#7
25.031,D#7
25.078,A#maj7
25.124,C#7
25.170,C#7
25.217,C#7
25.263,A#maj7
25.310,A#maj7
25.356,A#maj7
25.403,C#7
25.449,A#maj7
25.496,C#7
25.542,A#maj7
25.588,A#maj7
