"Start";"End";"Label"
"0.021333333";"1.130666667";"Bm7b5"
"1.130666667";"1.877333333";"C"
"1.877333333";"3.925333333";"Dm"
"3.925333333";"4.842666667";"A7"
"4.842666667";"5.973333333";"Gm"
"5.973333333";"6.848";"Amaj7"
"6.848";"7.914666667";"Em6"
"7.914666667";"8.810666667";"Dm"
"8.810666667";"9.856";"Am7b5/G"
"9.856";"11.52";"D"
"11.52";"11.733333333";"Am"
"11.733333333";"13.610666667";"Gm"
"13.610666667";"15.509333333";"C7"
"15.509333333";"17.429333333";"F"
"17.429333333";"17.578666667";"Dm"
"17.578666667";"18.090666667";"Em"
"18.090666667";"19.050666667";"Amaj7"
"19.050666667";"19.562666667";"C#m7b5/B"
