beat_start_time,beat_end_time,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,triad,chord,tetrad
0.0,0.021333333,0.3583062,0.2798535,0.2884256,0.3445257,1.0,0.42681587,0.5200134,0.79509664,0.34034643,0.21768554,0.3078722,0.61515987,E-G-B,Em,E-G-B-F#
0.021333333,1.685333333,0.1653218,0.1576485,0.24230395,0.27819985,0.586404,0.22277775,0.42203897,0.6535815,0.23353939,0.14544415,0.22954376,0.42975578,G-E-B,Em,G-E-B-F#
1.685333333,1.984,0.1041754,0.108483404,0.16256069,0.17221992,0.26753366,0.19726531,0.7062247,0.3778366,0.36823836,0.7988859,0.27202588,0.27792138,A-F#-G,Unknown,A-F#-G-G#
1.984,2.624,0.22803503,0.098889366,0.121631056,0.10254501,0.19871594,0.15585504,0.33504972,0.36917877,0.38884872,0.2646705,0.33738577,0.84986115,B-G#-G,Unknown,B-G#-G-A#
2.624,3.904,0.24588485,0.16672121,0.1357712,0.18240245,0.2520202,0.19803783,0.5765477,0.22552747,0.26333708,0.5508254,0.35987234,0.6672032,B-F#-A,Unknown,B-F#-A-A#
3.904,5.418666667,0.1992782,0.29625788,0.25254887,0.4271049,0.35816616,0.16410396,0.55639404,0.16086705,0.122258574,0.16259532,0.25201714,0.48977914,F#-B-D#,B,F#-B-D#-E
5.418666667,5.696,0.112115175,0.105504945,0.18451224,0.20033401,0.72684896,0.25735825,0.47546276,0.5255813,0.17295566,0.10704856,0.12708065,0.23140304,E-G-F#,Unknown,E-G-F#-F
5.696,6.784,0.11151566,0.11255841,0.12650481,0.16159515,0.25317758,0.15681714,0.5112882,0.2667074,0.31529105,0.7322093,0.41251567,0.41587767,A-F#-B,Unknown,A-F#-B-A#
6.784,9.173333333,0.1346581,0.12819321,0.21287873,0.23624094,0.6085792,0.22403733,0.29427937,0.56959426,0.19161056,0.13915944,0.17966482,0.3795415,E-G-B,Em,E-G-B-F#
9.173333333,9.450666667,0.1439506,0.12975879,0.14836474,0.15770021,0.4186719,0.16508833,0.65156484,0.30516642,0.3070835,0.65506166,0.28047392,0.3191479,A-F#-E,Unknown,A-F#-E-B
9.450666667,10.496,0.25471863,0.11329009,0.12624936,0.15798084,0.25689498,0.12150949,0.1987793,0.14787835,0.5807732,0.22726677,0.36558405,0.81357545,B-G#-A#,Unknown,B-G#-A#-E
10.496,10.858666667,0.2798904,0.30295253,0.2835251,0.52270013,0.32164824,0.42010137,0.48599365,0.31215316,0.60825634,0.25307572,0.41740885,0.93015736,B-G#-D#,G#m,B-G#-D#-F#
10.858666667,12.714666667,0.5330506,0.20822696,0.28395814,0.17721975,0.28281748,0.21322903,0.19667435,0.16570543,0.26473373,0.6580004,0.4087533,0.5940249,A-B-C,Unknown,A-B-C-A#
12.714666667,13.589333333,0.28228348,0.21182656,0.28917253,0.14581013,0.2403025,0.14599614,0.22703302,0.5372174,0.1875528,0.22577028,0.55174136,0.8227928,B-A#-G,Unknown,B-A#-G-D
13.589333333,14.528,0.15314455,0.16476384,0.15796515,0.15744957,0.21192755,0.2071888,0.4848001,0.38224626,0.26759794,0.4259271,0.3011261,0.6881904,B-F#-A,Unknown,B-F#-A-G
14.528,15.253333333,0.23431198,0.14218053,0.17192005,0.24843562,0.87177426,0.25057182,0.29401094,0.3157394,0.29826152,0.40962633,0.42085356,0.7028098,E-B-A#,Unknown,E-B-A#-A
