"Start";"End";"Label"
"0.0";"0.213333333";"D"
"0.213333333";"0.533333333";"Gm7b5"
"0.533333333";"1.472";"Gm"
"1.472";"1.770666667";"Em"
"1.770666667";"2.581333333";"A7"
"2.581333333";"3.477333333";"Gm"
"3.477333333";"3.776";"Em"
"3.776";"6.784";"A"
"6.784";"8.234666667";"Dm"
"8.234666667";"8.704";"G"
"8.704";"9.834666667";"Dm"
"9.834666667";"10.346666667";"A7"
"10.346666667";"11.349333333";"Gm"
"11.349333333";"11.776";"G"
"11.776";"13.717333333";"A7"
"13.717333333";"14.208";"Dm"
"14.208";"14.528";"C7"
"14.528";"14.997333333";"Fmaj7"
"14.997333333";"16.810666667";"C6"
"16.810666667";"17.621333333";"F7"
"17.621333333";"18.944";"Bb"
"18.944";"19.242666667";"Ebmaj7"
"19.242666667";"19.754666667";"C/Bb"
"19.754666667";"20.394666667";"Bb7"
"20.394666667";"21.333333333";"A7"
"21.333333333";"21.546666667";"Edim"
"21.546666667";"22.378666667";"Dm"
"22.378666667";"23.36";"Eb7"
"23.36";"24.362666667";"Dm"
"24.362666667";"25.536";"A7"
"25.536";"26.901333333";"Dm"
